song_number,song_title,song_lyrics
341,اِسْمَعُوا بُشْرَى الظَّفَرْ بِيَسُوعَ الْخَلاصْ أَذِيعُوهَا لِلْبَشَرْ,"
اِسْمَعُوا بُشْرَى الظَّفَرْ
بِيَسُوعَ الْخَلاصْ
أَذِيعُوهَا لِلْبَشَرْ
بِيَسُوعَ الْخَلاصْ
بَشِّرُوا أَقْصَى الْبِلادْ
فِي الْجِبَالِ وَالْوِهَادْ
عَلِّمُوا كُلَّ الْعِبَادْ
بِيَسُوعَ الْخَلاصْ
رَنِّمُوا وَقْتَ الْكِفَاحْ
بِيَسُوعَ الْخَلاصْ
فِيهِ إِدْرَاكُ النَّجَاحْ
بِيَسُوعَ الْخَلاصْ
بَشِّرُوا الْقَلْبَ الْجَرِيحْ
بِالدَّوَا الشَّافِي الصَّحِيحْ
وَاهْتِفُوا فَوْقَ الضَّرِيحْ
بِيَسُوعَ الْخَلاصْ
اُنْشُرُوا هَذَا الْخَبَرْ
بِيَسُوعَ الْخَلاصْ
هَنِّئُوا كُلَّ الْبَشَرْ
بِيَسُوعَ الْخَلاصْ
وَلْيُذَعْ فِي كُلِّ دَارْ
صَوْتُ هَذَا الانْتِصَارْ
وَلْيَكُنْ هَذَا الشِّعَارْ
بِيَسُوعَ الْخَلاصْ"
342,يَا أَيُّهَا الْخَاطِي انْتَبِهْ حَتَّى مَتَى تُخْدَعْ اُنْظُرْ يَسُوعَ وَاقِفًا,"
يَا أَيُّهَا الْخَاطِي انْتَبِهْ
حَتَّى مَتَى تُخْدَعْ
اُنْظُرْ يَسُوعَ وَاقِفًا
وَاسْمَعْهُ إِذْ يَقْرَعْ
الرَّبُّ يَدْعُوكَ انْتَبِهْ
فَكَيْفَ لا تَسْمَعْ
وَالْمَوْتُ آتٍ عَاجِلاً
وَالْمَوْتُ لا يُدْفَعْ
إِذَا رَفَضْتَ صَوْتَهُ
تَدْعُو فَلا يَسْمَعْ
لا الْمَالُ لا الأَهْلُ وَلا
الْبُكَا غَدًا يَنْفَعْ
الرَّبُّ يَدْعُوكَ انْتَبِهْ
فَكَيْفَ لا تَسْمَعْ
وَالْمَوْتُ آتٍ عَاجِلاً
وَالْمَوْتُ لا يُدْفَعْ
تُطْرَحُ حَيْثُ النَّارُ لا
تُطْفَا وَلا تَهْجَعْ
وَالدُّودُ لا يَمُوتُ
وَالظَّلامُ لا يُنْزَعْ
الرَّبُّ يَدْعُوكَ انْتَبِهْ
فَكَيْفَ لا تَسْمَعْ
وَالْمَوْتُ آتٍ عَاجِلاً
وَالْمَوْتُ لا يُدْفَعْ
فَاقْبَلْهُ تُقْبَلْ فِي السَّمَا
فِي مَجْدِهِ الأَرْفَعْ
تَبْقَ سَعِيدًا دَائِمًا
مَعْ شَعْبِهِ أَجْمَعْ
الرَّبُّ يَدْعُوكَ انْتَبِهْ
فَكَيْفَ لا تَسْمَعْ
وَالْمَوْتُ آتٍ عَاجِلاً
وَالْمَوْتُ لا يُدْفَعْ"
343,حَالاً تَعَالَوْا إِلَى الْمَسِيحْ يَا مَنْ تَعِبْتُمْ بِحِمْلِكُمْ,"
حَالاً تَعَالَوْا إِلَى الْمَسِيحْ
يَا مَنْ تَعِبْتُمْ بِحِمْلِكُمْ
فَهْوَ الَّذِي لُطْفُهُ يُرِيحْ
مَنْ حِمْلُهُ ثَقِيلْ
كُلُّ مَنْ يَتَّخِذُ الْمَسِيحْ
مَلْجَأً لَهُ فَيَسْتَرِيحْ
يَحْيَا سَعِيدًا مُظَلَّلاً
بِحُبِّهِ الْجَلِيلْ
الرَّبُّ قَدْ قَالَ أَقْبِلُوا
إِلَيَّ إِنِّي أُرِيحُكُمْ
فَأَسْرِعُوا كَيْ تُظَلَّلُوا
بِظِلِّهِ الظَّلِيلْ
كُلُّ مَنْ يَتَّخِذُ الْمَسِيحْ
مَلْجَأً لَهُ فَيَسْتَرِيحْ
يَحْيَا سَعِيدًا مُظَلَّلاً
بِحُبِّهِ الْجَلِيلْ
بِحُبِّهِ يَرْتَوِي الْخُطَاه
وَقُرْبُهُ مَرْتَعُ الْهَنَا
وَعِنْدَهُ مَوْرِدُ الْحَيَاه
يُشْفَى بِهِ الْعَلِيلْ
كُلُّ مَنْ يَتَّخِذُ الْمَسِيحْ
مَلْجَأً لَهُ فَيَسْتَرِيحْ
يَحْيَا سَعِيدًا مُظَلَّلاً
بِحُبِّهِ الْجَلِيلْ"
344,قَامَ الْمَسِيحُ قَامَ الْمَسِيحُ مَا عَادَ مَوْتٌ لإِهْلاَكِي زَالَ الْعِقَابُ سُرِّي نَفْسِي," قام المسيح يا شعب أبشر
قَامَ الْمَسِيحُ يَا شَعْبُ أَبْشِرْ
كُلُّ الْخَطَايَا إِنْقَشَعَتْ
صَارَ الذَّبِيحُ عَنْكَ بَدِيلاً
بِهِ الدُّيُونُ قَدْ وُفِّيَتْ
1
قَامَ الْمَسِيحُ قَامَ الْمَسِيحُ
مَا عَادَ مَوْتٌ لإِهْلاَكِي
زَالَ الْعِقَابُ سُرِّي نَفْسِي
قَامَ الْمَسِيحُ فَطُوبَاكِ
ق
أَمْوَاجُ الْعَدْلِ طَمَتْ عَلَيْهِ
إِذْ عُوقِبَ عَنْ خَطَايَاكِ
قَامَ الْبَدِيلُ وَالصُّلْحُ تَمَّ
وَبِرُّ اللهِ قَدْ غَطَّاكِ
2
قَامَ الْمَسِيحُ قَامَ الْمَسِيحُ
مَا عَادَ مَوْتٌ لإِهْلاَكِي
زَالَ الْعِقَابُ سُرِّي نَفْسِي
قَامَ الْمَسِيحُ فَطُوبَاكِ
ق
قَامَ الْمَسِيحُ وَالْقَبْرُ ضَاءَ
مَخَالِبُ الْمَوْتِ انْكَسَرَتْ
قَامَ الْحَبِيبُ وَالنَّصْرُ جَاءَ
وَكُلُّ أَعْدَاكِ انْدَحَرَتْ
3
قَامَ الْمَسِيحُ قَامَ الْمَسِيحُ
مَا عَادَ مَوْتٌ لإِهْلاَكِي
زَالَ الْعِقَابُ سُرِّي نَفْسِي
قَامَ الْمَسِيحُ فَطُوبَاكِ
ق"
345,فَادِي الْوَرَى يَدْعُوكَ قُلْ: ”هَا أَنَا“,"345
مقام:
ميزان: 6/8
نظم: (7و4)
فَادِي الْوَرَى يَدْعُوكَ
قُلْ: ”هَا أَنَا“
وَنُورُهُ يَهْدِيكَ
بَاهِي الثَّنَا
اَلْعُمْرُ كَالْخَيَالِ
إِذْ يَعْبُرُ
وَأَنْتَ فِي ضَلاَلِ
لاَ تُبْصِرُ
يَا مُهْمِلَ الْخَلاَصِ
لَبِّ الْحَمَلْ
وَيْلَكَ مِنْ قِصَاصِ
لاَ يُحْتَمَلْ
فَمَوْعِدُ الْحِسَابِ
دَانٍ قَرِيبْ
فَاهْرُبْ مِنَ الْعِقَابِ
إِلَى الْحَبِيبْ
مَجْدًا لَهُ تَعَالَى
رَبٌّ غَفُورْ
كَمْ تَائِبٍ قَدْ نَالَ
مَحْوَ الشُّرُورْ
أَنْتَ غَرِيقُ الْيَأْسِ
تَرْجُو النَّجَاهْ
أَسْرِعْ فَفَادِي النَّفْسِ
يَدْعُو الْخُطَاهْ
Come Sinner Come!
كتبها: W. E. Witter
نظَمها:
لحنها: Horatio R. Palmer"
346,"كَمَا أَنَا، آتِي إِلَى فَادِي الْوَرَى مُسْتَعْجِلا
","346
مقام: D
ميزان: 6/4
نظم: (8)
كَمَا أَنَا، آتِي إِلَى
فَادِي الْوَرَى مُسْتَعْجِلا
إِذْ قُلْتَ: ”نَحْوي أَقْبِلا“
يَا حَمَلَ اللهِ الْوَدِيعْ
يَا رَبُّ إِنِّي آثِمُ
فَلْيَغْسِلَنْ إِثْمِي الدَّمُ
إِنِّي إِلَيْكَ أَقْدَمُ
يَا حَمَلَ اللهِ الْوَدِيعْ
كَمَا أَنَا، لأَنَّنِي
ذُو فَاقَةٍ لاَ تَنْسَنِي
آتِي إِلَيْكَ يَا غَنِيّْ
يَا حَمَلَ اللهِ الْوَدِيعْ
أَنْتَ الَّذِي تَشْفِي الْعَلِيلْ
أَنْتَ الَّذِي تُرْوِي الْغَلِيلْ
عَنِّي أَزِلْ حِمْلِي الثَّقِيلْ
يَا حَمَلَ اللهِ الْوَدِيعْ
Just as I am without one plea
كتبتها: Charlotte Elliott
نظَمها: أسعد الشدودي
لحنها: William B. Bradbury"
347,أَنْتَ تَدْعُو لِلْوَلِيمَهْ كُلَّ خَاطِئٍ أَثِيمْ بِالْمَوَاعِيدِ الْكَرِيمَهْ,"347
مقام: Bb
ميزان: 4/4
نظم: (8و7)
أَنْتَ تَدْعُو لِلْوَلِيمَهْ
كُلَّ خَاطِئٍ أَثِيمْ
بِالْمَوَاعِيدِ الْكَرِيمَهْ
صَوْتُ حُبٍّ يَا رَحِيمْ
ذُبِحَ الْعِجْلُ الْمُسَمَّنْ
فَتَعَالَوا يَا خُطَاهْ
فَهْوَ قُوتٌ لاَ يُثَمَّنْ
لِخُطَاةٍ وَعُصَاهْ
كُلُّ شَيْءٍ قَدْ أُعِدَّا
فَتَعَالَوْا مُسْرِعِينْ
لَكُمُ الثَّوْبُ تَهَيَّا
فَالْبَسُوهُ شَاكِرِينْ
مَدَّ أَيْدِي اللُّطْفِ رَبِّي
فَاتْبَعِيهِ يَا نُفُوسْ
فِي خُضُوعٍ ثُمَّ حُبٍّ
لِلْمُخَلِّصِ الْقُدُّوسْ
بِكُمُ السَّمَاءُ تَفْرَحْ
يَا خُطَاةً تَائِبِينْ
وَإِلَهُ الْحُبِّ يَمْنَحْ
لَكُمُ الْمَجْدَ الثَّمِينْ
-----------------------------
كتبها:
نظَمها: سليم كساب
اسم اللحن1: love divine (beecher)
اسم اللحن2:  ellesdie"
348,أَنْتَ مَدْعُوٌّ إِلَى الْعُرْسِ الْعَظِيمْ يُوجَدُ لَكَ مَكَانْ إِنَّ رَبَّ الْعُرْسِ لاَ شَكَّ كَرِيمْ,"348
مقام: C
ميزان: 4/4
نظم: (11و7و8و12)
أَنْتَ مَدْعُوٌّ إِلَى الْعُرْسِ الْعَظِيمْ
يُوجَدُ لَكَ مَكَانْ
إِنَّ رَبَّ الْعُرْسِ لاَ شَكَّ كَرِيمْ
يُوجَدُ أَيْضًا مَكَانْ
فَتَعَالَ لاَ تُؤَجِّلْ
كُلْ مِنَ الْخَيْرَاتِ عَجِّلْ
كَذَا ثَوْبُ الْعُرْسِ لأَجْلِكَ أُكْمِلْ .. فَتَعَالَ بِالإِيمَانْ
اِسْمَعِ الدَّعْوَةَ أَسْرِعْ لِلْفَرَحْ
يُوجَدُ لَكَ مَكَانْ
وَتَعَالَ يَا صَدِيقِي تَسْتَرِحْ
يُوجَدُ أَيْضًا مَكَانْ
صَاحِبُ الْعُرْسِ تَكَلَّفْ
كُلَّ شَيْءٍ جِئْ لِتَعْرِفْ
اَلْمَحَبَّةُ أَعَدَّتْ مَا لاَ يُوصَفْ
يُوجَدُ لَكَ مَكَانْ
الدَّمُ الْغَالِي جَرَى فَوْقَ الصَّلِيبْ يُوجَدُ أَيْضًا مَكَانْ
يَمْحُو آثَامَ الْوَرَى دَمُ الْحَبِيبْ
يُوجَدُ لَكَ مَكَانْ
فَتَعَالَ رَغْمَ شَرِّكْ
ضَعْ عَلَيْهِ كُلَّ حِمْلِكْ
اَلْعَرِيسُ قَدْ أَعَدَّ الْكُلَّ فَادْرِكْ
وَتَعَالَ بِالإِيمَانْ
عَنْ قَرِيبٍ سَوْفَ يُغْلَقُ ذَا الْبَابْ حِينَ يَمْتَلِي الْمَكَانْ
إِنْ قَرَعْتَ سَوْفَ تَسْمَعُ الْجَوَابْ لَقَدْ فَاتَكَ الأَوَانْ
عِنْدَ ذَا لَيْسَ وُصُولُ
أَبَدًا وَلاَ قَبُولُ
عِنْدَ ذَا تَبْكِي وَلاَ يُمْكِنْ دُخُولُ
لَيْسَ يُوجَدُ مَكَانْ
كتبها: زكريا عوض الله
لحنها: إيليا زكريا"
349,يَا ذَوِي الإِثْمِ تَعَالَوْا بُؤَسَا مَعْ فُقَرَا,"349
مقام:
ميزان:
نظم: (8و7)
يَا ذَوِي الإِثْمِ تَعَالَوْا
بُؤَسَا مَعْ فُقَرَا
ضُعَفَا مَرْضَى وَجَرْحَى
بُرْؤُهُمْ تَعَذَّرَا
اِرْجِعُوا لِلرَّبِّ حَالاً
وَاطْلُبُوا مِنْهُ الْخَلاَصْ
وَاسْمَهُ عَلُّوا وَأَهْدُوا
السُّبْحَ مِنْ دَانٍ وَقَاصْ
يَا تَعَابَى بِالْخَطَايَا
أُنْظُرُوا حُبَّ الْمَسِيحْ
قَالَ: ”مَنْ جَاءَ إِلَيَّ
مُتْعَبًا سَيَسْتَرِيحْ“
اُنْظُرُوهُ مُسْتَعِدًّا
أَنْ يُخَلِّصَ الْوَرَى
بِحُنُوٍّ فَائِقٍ مَعْ
قُوَّةٍ لَنْ تُحْصَرَ
إِنْ تَأَخَّرْتُمُ حَتَّى
تَسْتَحِقُّوا الاِقْتِرَابْ
فَاعْلَمُوا أَنَّكُمُ لَنْ
تَجِدُوا لِلْقُرْبِ بَابْ
يَا جَمِيعَ الْمُتْعَبِينَ
ائْتُوا إِلَيْهِ بِالْعَجَلْ
اُطْلُبُوا الرَّاحَةَ مِنْهُ
لاَ تَخَافُوا مِنْ فَشَلْ
-----------------------------
كتبها:
نظَمها:
لحنها:"
350,ضَلَلْتُ فِي بَحْرِ الْحَيَاةِ وَكَانْ طَرِيقِي شَدِيدَ الظَّلاَمْ,"350
مقام: Bbm
ميزان: 6/8
نظم: (11و8)
ضَلَلْتُ فِي بَحْرِ الْحَيَاةِ وَكَانْ
طَرِيقِي شَدِيدَ الظَّلاَمْ
فَنَادَى يَسُوعُ بِصَوْتِ الْحَنَانْ:
”تَعَالَ لِمِينَا السَّلاَمْ“
تَعَالَ إِلَى الرَّبِّ حِصْنِ الأَمَانْ
وَأَسْرِعْ وَلا تُهْمِلِ
تَعَالَ لِمِينَا السَّلاَمِ وَخُذْ
سَلاَمَ الإِلَهِ الْعَلِيّْ
هَرَعْتُ لِصَوْتِ الْمُنَادِي الْحَبِيبْ وَوَجَّهْتُ سَيْرِي إِلَيْه
وَصَلْتُ وَكَانَ السَّلاَمُ الْعَجِيبْ بِطَرْحِي ذُنُوبِي عَلَيْه
تَعَالَ إِلَى الرَّبِّ حِصْنِ الأَمَانْ
وَأَسْرِعْ وَلا تُهْمِلِ
تَعَالَ لِمِينَا السَّلاَمِ وَخُذْ
سَلاَمَ الإِلَهِ الْعَلِيّْ
سَلاَمِي عَظِيمٌ بِرَبِّي الْكَرِيمْ
أَنَا مَعْهُ طُولَ الزَّمَانْ
أَنَا فِي هَنَاءٍ أَنَا فِي نَعِيمْ
نَجَوْتُ وَنِلْتُ الأَمَانْ
تَعَالَ إِلَى الرَّبِّ حِصْنِ الأَمَانْ
وَأَسْرِعْ وَلا تُهْمِلِ
تَعَالَ لِمِينَا السَّلاَمِ وَخُذْ
سَلاَمَ الإِلَهِ الْعَلِيّْ
كتبها:
لحنها: هاغوب جمبازيان"
351,"هَا يَسُوعُ الْبَابَ دَوْمًا يَقْرَعُ وَإِلَيْكَ بِالدُّخُولِ يَضْرَعُ فَافْتَحِ الْبَابَ وَإِلاَّ يَرْجِعُ عَنْكَ، فَافْتَحْ لِيَسُوعَ عَاجِلاً","351
مقام: Cm
ميزان: 4/4
نظم: (11و6)
هَا يَسُوعُ الْبَابَ دَوْمًا يَقْرَعُ
وَإِلَيْكَ بِالدُّخُولِ يَضْرَعُ
فَافْتَحِ الْبَابَ وَإِلاَّ يَرْجِعُ عَنْكَ، فَافْتَحْ لِيَسُوعَ عَاجِلاً
عَاجِلاً .. عَاجِلاً
عَاجِلاً .. عَاجِلاً
إِغْنَمِ الْوَقْتَ الْوَحِيدَ الْمُعْطَى لَكْ
قَلْبَكَ افْتَحْ لِيَسُوعَ عَاجِلاً
اِفْتَحِ الْبَابَ إِلَى الْفَادِي الْمَسِيحْ
إِذْ دَمُ الْفَادِي دَوَاءٌ لِلْجَرِيحْ
وَعَلَى صَدْرِ الْمُحِبِّ تَسْتَرِيحْ
فَلِذَا افْتَحْ لِيَسُوعَ عَاجِلاً
عَاجِلاً .. عَاجِلاً
عَاجِلاً .. عَاجِلاً
إِغْنَمِ الْوَقْتَ الْوَحِيدَ الْمُعْطَى لَكْ
قَلْبَكَ افْتَحْ لِيَسُوعَ عَاجِلاً
سَنَكُونُ الدَّهْرَ مَعْهُ لِلأَبَدْ
فِي دِيَارٍ زَانَهَا الرَّبُّ الصَّمَدْ
حَيْثُ لا حُزْنَ وَلا أَيَّ كَمَدْ
فَافْتَحِ الْقَلْبَ وَأَسْرِعْ عَاجِلاً
عَاجِلاً .. عَاجِلاً
عَاجِلاً .. عَاجِلاً
إِغْنَمِ الْوَقْتَ الْوَحِيدَ الْمُعْطَى لَكْ
قَلْبَكَ افْتَحْ لِيَسُوعَ عَاجِلاً
كتبها: عبد الله خضر
لحنها: أديب حبيب"
352,يَا ثَقِيلَ الْحِمْلِ أَقْبِلْ نَحْوَ فَادِيكَ الْحَبِيبْ وَاطْرَحِ الأَوْزَارَ حَالاً,"352
مقام: Bb
ميزان: 4/4
نظم: (8و7)
يَا ثَقِيلَ الْحِمْلِ أَقْبِلْ
نَحْوَ فَادِيكَ الْحَبِيبْ
وَاطْرَحِ الأَوْزَارَ حَالاً
نَاظِرًا إِلَى الصَّلِيبْ
فَتَرَى يَنْبُوعَ جُودٍ
سَالَ مِنْ جَنْبِ الْحَمَلْ
مَنْ أَبَادَ الْمَوْتَ بِالْمَوْتِ
الَّذِي عَنَّا احْتَمَلْ
اِسْمَعِ الْفَادِي يُنَادِي
كُلَّ مَقْطُوعِ الرَّجَا:
”اِلْتَفِتْ نَحْوِي فَتَحْيَا
وَتَنَالَ الْفَرَجَا
أَقْبِلُوا نَحْوِي فَإِنِّي
جِئْتُ مِنْ أَجْلِ الْخُطَاهْ
إِنَّنِي الْخُبْزُ السَّمَاوِي
أَكْلُهُ يُعْطِي الْحَيَاهْ“
فَهَلُمَّ الآنَ يَا مَنْ
بَاتَ فِي أَسْرِ الْهَلاَكْ
وَاسْأَلِ الْغُفْرَانَ وَاقْبَلْ
هِبَةً مِمَّنْ دَعَاكْ
لا تُقَسِّ الْقَلْبَ وَاسْمَعْ
صَوْتَ فَادِيكَ الْحَنُونْ
وَانْتَبِهْ وَادْنُ سَرِيعًا
قَبْلَ إِتْيَانِ الْمَنُونْ
-----------------------------
كتبها:
نظَمها: أسعد الراسي
لحنها: Stockwell"
353,قَدْ غَرِقْتُ فِي الشُّرُورْ فِي حَمْأَةِ الأَثَامْ غَابَ عَنْ قَلْبِي السُّرُورْ,"353
مقام: Bb
ميزان: 6/8
نظم: (7و6و4)
قَدْ غَرِقْتُ فِي الشُّرُورْ
فِي حَمْأَةِ الأَثَامْ
غَابَ عَنْ قَلْبِي السُّرُورْ
وَالأَمْنُ وَالسَّلاَمْ
فَدَعَوْتُ الْمُفْتَدِي
رَبَّ الْوَرَى الْمَنَّانْ:
”إِنْتَشِلْنِي مُنْجِدِي
يَا ذَا الْحَنَانْ“
(حُبُّ يَسُوعْ
حُبُّ يَسُوعْ
مِنْ حَمْأَةِ الذُّنُوبْ
نَفْسِي انْتَشَلْ)
عِشْتُ بَائِسًا أَثِيمْ
وَحَاقَ بِي الدُّجَى
فَأَتَى الْفَادِي الرَّحِيمْ
بِالنُّورِ وَالرَّجَا
إِنَّ قَلْبِي مِلْكُهُ
مَا دُمْتُ فِي الْوُجُودْ
فَأُذِيعُ حَمْدَهُ
ذَاكَ الْوَدُودْ
(حُبُّ يَسُوعْ
حُبُّ يَسُوعْ
مِنْ حَمْأَةِ الذُّنُوبْ
نَفْسِي انْتَشَلْ)
يَا غَرِيقًا فِي الشُّرُورْ
إِسْتَنْجِدِ الإِلَهْ
إِنَّهُ الرَّبُّ الْغَفُورْ
يَدْعُوكَ لِلنَّجَاهْ
مُنْقِذًا غَرْقَى الأَثَامْ
مِنْ لُجَّةِ الْمِيَاهْ
وَحْدَهُ فَادِي الأَنَامْ
رَجَا الْخُطَاهْ
(حُبُّ يَسُوعْ
حُبُّ يَسُوعْ
مِنْ حَمْأَةِ الذُّنُوبْ
نَفْسِي انْتَشَلْ)
---------------------
كتبها:
نظَمها: ملحم ذهبية
لحنها: Howard E. Smith"
354,فَارِحًا فَارِحًا أَمْضِي إِلَى الْمَسْكَنِ الْمُسْتَنِيرِ بِالْحَمَلْ,"354
مقام:
ميزان:
نظم: (10)
فَارِحًا فَارِحًا أَمْضِي إِلَى
الْمَسْكَنِ الْمُسْتَنِيرِ بِالْحَمَلْ
مُسْرِعًا نَحْوَ خُلاَّنِي الَّذِينْ
سَافَرُوا قَبْلِي لِلْمِينَا الأَمِينْ
حَيْثُ أَلْتَقِي بِهِمْ فِي النَّعِيمْ
يَا لَشَوْقِي إِلَى الْمَجْدِ الْعَظِيمْ
جَمِيعُهُمْ مَعَ الْفَادِي هُنَاكْ
فَارِحًا فَارِحًا أَقْصِدُ ذَاكْ
يَا لَشَوْقِي إِلَى ذَاكَ اللِّقَا
وَلِسَمْعِي تَرَانِيمَ السَّمَا
يَا نِبَالَ الْمَنَايَا لا أَخَافْ
فِعْلَكِ الْمُرَّ يَوْمَ الاِنْصِرَافْ
شَوْكَةَ الْمَوْتِ قَدْ دَاسَ الْمَسِيحْ
كَاسِرًا سَاحِقًا بَابَ الضَّرِيحْ
مَاتَ عَنِّي لأَحْيَا فِي حِمَاهْ
فَارِحًا فَارِحًا عَيْنِي تَرَاهْ
Joyfully, Joyfully, Onward We Move
---------------------
كتبها: William Hunter (1843)
نظَمها: أسعد الشدودي
لحنها: Abraham Dow Merrill (1845)"
355,عَنْ قَرِيبٍ سَتَجِيءُ وَالأَمْلاَكُ يُنْشِدُونْ,"355
مقام:
ميزان:
نظم: (8و7)
عَنْ قَرِيبٍ سَتَجِيءُ
وَالأَمْلاَكُ يُنْشِدُونْ
نَازِلاً بِصَوْتِ بُوقٍ
فَيَقُومُ الرَّاقِدُونْ
وَنَحْنُ مَعْهُمْ فِي سُحْبٍ
بِاخْتِطَافٍ فَرِحِينْ
نُلاَقِيكَ بِانْتِصَارٍ
عَلَى الْعِدَى هَاتِفِينْ
أَيْنَ الشَّوْكَةُ يَا مَوْتُ
وَغَلْبَةُ الْهَاوِيَه
قَدْ وَصَلْنَا بِانْتِصَارٍ
لِلْحَيَاةِ الْبَاقِيَه
عِنْدَ ذَا نُهْدِيكَ شُكْرًا
أَيُّهَا الرَّبُّ يَسُوعْ
قَائِلِينَ: هَلِّلُويَا
وَسَتُمْسَحُ الدُّمُوعْ
---------------------
كتبها:
نظَمها:
لحنها:"
356,طُوبَى لِمَنْ قَدْ رَقَدَ فِي الرَّبِّ يَسُوعَ الْمَسِيحْ,"356
مقام: D
ميزان: 4/4
نظم: (8)
طُوبَى لِمَنْ قَدْ رَقَدَ
فِي الرَّبِّ يَسُوعَ الْمَسِيحْ
مِنْ وَجْهِ الشَّرِّ ضَمَّهُ
وَمِنْ عَنَاهُ يَسْتَرِيحْ
صَبْرًا جَمِيلاً إِنَّنَا
يَوْمًا نَرَاهُمْ بِالْيَقِينْ
لا نَحْزَنُ كَأَنَّنَا
بِلا رَجَاءٍ كَالْبَاقِينْ
فَالرَّبُّ قَدْ مَاتَ وَقَامْ
بَاكُورَةً لِلرَّاقِدِينْ
وَمَعَهُ سَيُحْضَرُونْ
فِي شِبْهِهِ مُمَجَّدِينْ
بِنَفْسِهِ سَيَنْزِلُ
مِنَ السَّمَاءِ بِهُتَافْ
وَيَجْمَعُ الْكُلَّ مَعًا
عَلَى السَّحَابِ بِاخْتِطَافْ
هَذَا هُوَ يَوْمُ اللِّقَا
هَذَا هُوَ الْيَوْمُ السَّعِيدْ
وَفِيهِ نَحْظَى بِالْبَقَا
مَعْ رَبِّنَا الْفَادِي الْمَجِيدْ
هَذَا الرَّجَا فِيهِ الْعَزَا
مَا دُمْنَا فِي وَادِي الدُّمُوعْ
نَعَمْ آمِينَ فَتَعَالْ
يَا أيُّهَا الرَّبُّ يَسُوعْ
---------------------
نظَمها: حبيب جرجس
لحنها:
اسم اللحن:  (Duke Street)
Blest Hour, When Mortal Man Retires
---------------------
نظَمها: حبيب جرجس
لحنها: Lowell Mason
اسم اللحن:  (malven)"
357,ما أسعد البيتَ الذي قد حلَّ فيه ابنُ العليّْ,"357
مقام: Fm
ميزان: 6/8
نظم: (8)
ما أسعد البيتَ الذي
قد حلَّ فيه ابنُ العليّْ
حيثُ المسيحُ المفتدي
(أضحَى رئيسَ المنزلِ)
طوبَى لبيتٍ قائمٍ
أساسُهُ الحقُّ الصَّريح
طوبَى لبيتٍ فاضلٍ
(شِعارُهُ مَجدُ المسيح)
في ذلكَ البيتِ السعيد
يسودُ برٌّ ووِئام
إذ حبُّ فادينا المجيد
(قد حلَّ فيهِ والسلام)
طوبَى لبيتٍ قائمٍ
أساسُهُ الحقُّ الصَّريح
طوبَى لبيتٍ فاضلٍ
(شِعارُهُ مَجدُ المسيح)
بيتٌ أناشيدُ الهَنَا
ترِنُّ في أرجائِهِ
يَغمُرُهُ رَبُّ السَّما
(بِالفيضِ من عَليائِهِ)
طوبَى لبيتٍ قائمٍ
أساسُهُ الحقُّ الصَّريح
طوبَى لبيتٍ فاضلٍ
(شِعارُهُ مَجدُ المسيح)
كتبها: إبراهيم بوارشي
لحنها: سعد جرجس إبراهيم"
358,يا سيدَنا يا صاحبَ البهاء لك نُهدي الحمد,"358
مقام:
ميزان:
نظم: (11و5و7)
يا سيدَنا يا صاحبَ البهاء
لك نُهدي الحمد
بحضورِكَ قد سطعَ الضياء
أنت ربُّ المجد
هوذا عروسانِ منك يرتجيانِ
أن تباركَ على ذا القِرانِ
فبفعلِكَ تقترنُ القلوب
وتُثبَّتُ العُهُود
والحياةُ تصفو والهَنَا يسود
فليَفِض غيثٌ من جودِكَ على
من اقترنا
وليُرَ توفيقُكَ من العُلا
في عيشِهِما
هوذا عروسانِ منك يرتجيانِ
أن تباركَ على ذا القِرانِ
فبفعلِكَ تقترنُ القلوب
وتُثبَّتُ العُهُود
والحياةُ تصفو والهَنَا يسود
ها هُما بالقلبِ قد اتحدا
في حُضورِ الرَّب
ليعيشا كزوجينِ أبدا
باتِّحادِ القلب
هوذا عروسانِ منك يرتجيانِ
أن تباركَ على ذا القِرانِ
فبفعلِكَ تقترنُ القلوب
وتُثبَّتُ العُهُود
والحياةُ تصفو والهَنَا يسود
أيِّدهُما ظلِّلهُما بيُمناكْ
أيُّها العلِيّْ
بالرِّضَا اشمَلهُما من فَيضِ غِناك
إنَّكَ السَّخِيّْ
هوذا عروسانِ منك يرتجيانِ
أن تباركَ على ذا القِرانِ
فبفعلِكَ تقترنُ القلوب
وتُثبَّتُ العُهُود
والحياةُ تصفو والهَنَا يسود
رُشدًا كاملاً يا ربُّ امنَحْهُمَا
لِمجدِ اسمِكَ
في أدوارِ الحياةِ يهديهُمَا
نورُ وجهِكَ
هوذا عروسانِ منك يرتجيانِ
أن تباركَ على ذا القِرانِ
فبفعلِكَ تقترنُ القلوب
وتُثبَّتُ العُهُود
والحياةُ تصفو والهَنَا يسود
كتبها:
نظَمها:
لحنها:"
